"name";"lastname";"gender";"current_year_of_study";"recommened_by";"application_status";"applicants_status";"Evaluators_Comment"
NULL;NULL;NULL;"HND 1";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>16-Apr-2021</small></br>ok for next review, applicant last award shall be in 2021.</br><b>Ugo Emmanuel</b> - <small>19-Feb-2021</small></br>Applicant hasn't updated his documents. What we have here are documents from 2019/2020. He needs to update his documents with recent ones.</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>04-May-2021</small></br>ok for next review---applicants last award shall be in 2024 since the applicant started receiving the award from 100 level</br><b>Ugo Emmanuel</b> - <small>19-Feb-2021</small></br>Applicant hasn't uploaded his recent documents. What we have here are documents from 2018/2019.  He needs to update his evidence of CGPA and letter from department with more recent ones.</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>04-May-2021</small></br>ok for next review</br><b>Gideon Olawale</b> - <small>25-Feb-2021</small></br>Applicant hasn't updated his documents. What we have here are documents from 2018/2019. He needs to update his documents with recent ones</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>letter from her department is not available</br><b>Akonye Tobin</b> - <small>16-Apr-2021</small></br>Documents are not upto date, evidence of CGPA is from 2017, no letter from department</br><b>Gideon Olawale</b> - <small>25-Feb-2021</small></br>Her result is up to date, but the letter from her department is not available</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br><b>Gideon Olawale</b> - <small>25-Feb-2021</small></br>Applicant hasn't updated his documents. What we have here are documents from 2019/2020. He needs to update his documents with recent ones.</br>"
NULL;NULL;NULL;"400 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>27-Feb-2021</small></br>Applicant hasn't updated his documents. What we have here are old documents. He needs to update his documents with recent ones.</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>27-Feb-2021</small></br>Applicant hasn't updated his documents. What we have here are old documents. He needs to update his documents with recent ones.</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br><b>Akonye Tobin</b> - <small>27-Mar-2021</small></br>no current CGPA or letter from the department</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>27-Feb-2021</small></br>Applicant hasn't updated his documents. What we have here are old documents. He needs to update his documents with recent ones.</br>"
NULL;NULL;NULL;"500 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>24-Apr-2021</small></br>Applicant meant to graduate 2020, but a derogation to apply last award in 2021.</br><b>Gideon Olawale</b> - <small>17-Mar-2021</small></br>Applicant is not eligible for this year's Award. He is meant to graduate in 2020. HIs document are not also complete</br>"
